id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
19	academic achievement	-1.023	-0.3011	5	13	22	10	2013.8	11	0.9189
44	adolescence	-0.0715	-0.7996	4	10	13	6	2015	10.8333	1.2442
51	aesthetics	0.379	0.8961	1	15	26	9	2014.4444	10.5556	1.752
62	age	-0.4331	0.2569	7	10	15	6	2012.1667	8.8333	1.2838
66	agency	-0.1426	-0.5801	9	14	30	13	2010.6154	12	1.3739
118	art	0.6701	0.7445	1	9	14	7	2012.2857	6.8571	0.6704
209	black middle class	-0.83	0.4727	2	14	21	7	2014.4286	8.1429	1.7612
219	body	0.3804	-0.6097	4	23	46	18	2012.4444	13	1.3878
241	bourdieu	0.2753	0.0898	1	116	1031	566	1999.4099	8.6166	1.023
247	brazil	-0.2968	0.7601	5	10	15	6	2013.8333	2.8333	0.5444
279	capital	0.4265	-0.4407	4	45	112	51	2014.1176	7.4118	0.8825
288	capitals	0.4741	-0.2908	2	12	22	10	2014.8	9.5	1.8642
321	children	-1.0083	-0.2165	2	12	18	6	2008	21.5	1.638
357	class	-0.1536	0.2459	1	74	256	94	1991.5745	11.2234	1.1085
483	consumption	0.0273	0.7278	1	27	52	16	2013.125	13.3125	0.7278
502	correspondence analysis	0.1144	0.8544	1	9	16	6	2014.5	8.8333	1.469
509	cosmopolitanism	-0.8745	0.5801	5	19	32	11	2015.8182	9.3636	1.6834
560	cultural capital	-0.6888	0.2159	5	94	542	290	2006.3034	12.8517	1.2515
565	cultural consumption	-0.5895	0.6398	2	17	30	12	2015.25	3.0833	1.5304
573	cultural fields	0.2034	0.7974	1	12	21	8	2013.375	10.375	1.0254
584	cultural intermediaries	0.5809	0.5912	6	11	16	6	2012.8333	8.8333	0.6769
590	cultural omnivore	-0.3664	0.8873	1	25	50	14	2013.3571	29.8571	1.5158
595	cultural production	0.7581	0.6538	6	21	42	13	2012.7692	12.9231	1.028
610	culture	0.0873	0.4374	8	45	104	34	2013.1176	12.1765	1.2069
659	disability	0.7186	-0.7052	4	13	19	7	2013.2857	11	0.6486
681	dispositions	0.6233	0.438	1	17	31	13	1859.0769	14.9231	1.7261
685	distinction	-0.198	0.6533	1	23	54	21	2013.4286	13.5238	1.4493
698	domination	0.7987	-0.1387	8	18	32	9	2013.7778	7	0.7268
732	economic capital	-1.1046	0.136	7	18	39	17	2015.1765	2.9412	0.5347
741	economic sociology	0.9866	0.0636	6	7	14	6	2014.1667	3.8333	0.9587
747	education	-0.8371	-0.285	2	45	135	47	1969.1702	17.9787	1.1334
762	educational inequality	-1.0804	0.0084	5	8	17	10	2015.4	3.2	0.3317
788	elites	-0.4433	0.5251	4	25	40	15	2014.8667	10.4667	1.5274
800	embodiment	0.663	-0.598	3	19	37	16	2012.5	15.125	1.4175
809	emotion	-0.0427	-0.9009	3	14	18	7	2009.8571	25	1.1878
865	ethnicity	-0.2008	0.4657	2	31	64	20	2013.65	11.75	0.8921
867	ethnography	0.5864	0.1698	4	18	28	17	2012.5882	9.9412	0.6175
